,YEAR,GEO_CODE,GEO_NAME,POPULATION_DENSITY,POPULATION_PERCENTAGE_CHANGE,POP_TOTAL,POP_MALE,POP_FEMALE,CHILDREN_TOTAL,CHILDREN_MALE,CHILDREN_FEMALE,YOUTH_TOTAL,YOUTH_MALE,YOUTH_FEMALE,ADULT_TOTAL,ADULT_MALE,ADULT_FEMALE,SENIOR_TOTAL,SENIOR_MALE,SENIOR_FEMALE,HOUSEHOLD_INCOME,EMPLOYMENT_RATE,UNEMPLOYMENT_RATE
0,2016,59034.0,Vancouver Centre,10466.5,13.6,116445.0,59980.0,56460.0,6970.0,3575.0,3400.0,9410.0,4410.0,5005.0,84545.0,44410.0,40135.0,15520.0,7595.0,7925.0,70080.0,70.4,5.2
1,2016,59035.0,Vancouver East,5374.7,5.1,115725.0,58375.0,57345.0,12310.0,6345.0,5970.0,10595.0,5185.0,5415.0,76585.0,39180.0,37400.0,16230.0,7670.0,8560.0,54245.0,65.8,5.8
2,2016,59036.0,Vancouver Granville,4620.3,3.6,103455.0,48295.0,55165.0,11500.0,6035.0,5455.0,11875.0,5630.0,6245.0,63710.0,29620.0,34090.0,16375.0,7005.0,9370.0,48325.0,63.7,5.3
3,2016,59038.0,Vancouver Kingsway,6854.6,2.8,104870.0,50985.0,53885.0,14165.0,7350.0,6810.0,13600.0,6995.0,6610.0,61565.0,29705.0,31855.0,15540.0,6940.0,8605.0,38115.0,63.0,5.8
4,2016,59039.0,Vancouver Quadra,2617.6,3.1,105610.0,49780.0,55825.0,14210.0,7315.0,6895.0,17515.0,8580.0,8940.0,56465.0,26165.0,30300.0,17415.0,7720.0,9695.0,44740.0,57.2,6.6
5,2016,59040.0,Vancouver South,4973.4,1.9,102925.0,49495.0,53430.0,14015.0,7365.0,6650.0,14305.0,7335.0,6965.0,56315.0,26715.0,29605.0,18295.0,8080.0,10210.0,34995.0,59.0,5.8
6,2013,59034.0,Vancouver Centre,9206.648697214734,13.6,102470.0,53000.0,49480.0,5795.0,2955.0,2835.0,10815.0,5145.0,5675.0,81300.0,42965.0,38330.0,11260.0,5475.0,5785.0,62040.0,69.0,6.2
7,2013,59035.0,Vancouver East,5113.794705062703,5.1,110100.0,56025.0,54070.0,12205.0,6305.0,5905.0,11270.0,5515.0,5755.0,80515.0,41905.0,38620.0,14500.0,6765.0,7735.0,50065.0,63.3,8.6
8,2013,59036.0,Vancouver Granville,4457.570343903528,3.6,99805.0,46495.0,53310.0,11445.0,5855.0,5590.0,11755.0,5730.0,6015.0,70485.0,32505.0,37965.0,13400.0,5685.0,7705.0,46315.0,63.8,5.7
9,2013,59038.0,Vancouver Kingsway,6666.993464052287,2.8,102005.0,49725.0,52280.0,14810.0,7620.0,7185.0,13595.0,7080.0,6510.0,67545.0,32510.0,35020.0,13700.0,6135.0,7560.0,35765.0,60.1,7.3
10,2013,59039.0,Vancouver Quadra,2541.0262766484875,3.1,102505.0,48305.0,54200.0,14350.0,7320.0,7030.0,15000.0,7460.0,7545.0,65730.0,30475.0,35255.0,14540.0,6310.0,8245.0,43275.0,59.8,6.5
11,2013,59040.0,Vancouver South,4877.536231884058,1.9,100965.0,48445.0,52520.0,15165.0,7955.0,7215.0,14000.0,7290.0,6705.0,63710.0,29965.0,33750.0,15870.0,6865.0,9010.0,32620.0,56.3,8.5
12,2003,59029.0,Vancouver Centre,9104.5,11.0,137270.0,68550.0,68720.0,8250.0,4180.0,4075.0,13590.0,6370.0,7220.0,109020.0,55535.0,53465.0,15365.0,7005.0,8340.0,82775.0,70.5,6.0
13,2003,59030.0,Vancouver East,5113.4,3.1,110095.0,56025.0,54070.0,12220.0,6310.0,5895.0,11270.0,5515.0,5755.0,80525.0,41890.0,38615.0,14495.0,6765.0,7740.0,50065.0,63.3,8.6
14,2003,59032.0,Vancouver Kingsway,5957.7,4.3,124935.0,60640.0,64300.0,18175.0,9355.0,8805.0,16275.0,8460.0,7820.0,82840.0,39645.0,43200.0,16920.0,7575.0,9340.0,44575.0,60.7,7.0
15,2003,59033.0,Vancouver Quadra,2560.0,1.9,121865.0,57425.0,64440.0,17340.0,8865.0,8475.0,17915.0,8905.0,9010.0,77690.0,35885.0,41805.0,17505.0,7655.0,9845.0,50225.0,58.8,6.3
16,2003,59034.0,Vancouver South,4718.5,2.8,123675.0,59350.0,64330.0,17795.0,9300.0,8495.0,17390.0,8975.0,8410.0,79230.0,37360.0,41855.0,19000.0,8225.0,10765.0,42430.0,56.1,8.2
