VENUE;URL_LINK;Geom
UBC Thunderbird Arena;http://olympichostcity.vancouver.ca/placesandvenues/olympicvenues.htm;"{""coordinates"": [-123.24167735351418, 49.259985398144245], ""type"": ""Point""}"
Vancouver Olympic and Paralympic Village;http://olympichostcity.vancouver.ca/placesandvenues/olympicvillage/Default.htm;"{""coordinates"": [-123.10751342773436, 49.27125167753035], ""type"": ""Point""}"
Vancouver Olympic Centre / Paralympic Centre;http://olympichostcity.vancouver.ca/placesandvenues/communitylegacyvenues/vancouverolympiccentre.htm;"{""coordinates"": [-123.10888671875001, 49.244270323770444], ""type"": ""Point""}"
Trout Lake Training Venue;http://olympichostcity.vancouver.ca/placesandvenues/communitylegacyvenues/troutlaketrainingvenue.htm;"{""coordinates"": [-123.06473541259766, 49.254577635782226], ""type"": ""Point""}"
Pacific Coliseum;http://olympichostcity.vancouver.ca/placesandvenues/communitylegacyvenues/pacificcoliseum.htm;"{""coordinates"": [-123.04276275634767, 49.285896300333164], ""type"": ""Point""}"
Britannia Training Venue;http://olympichostcity.vancouver.ca/placesandvenues/communitylegacyvenues/;"{""coordinates"": [-123.07061700922361, 49.276035204256864], ""type"": ""Point""}"
Main Media Centre;http://olympichostcity.vancouver.ca/placesandvenues/olympicvenues.htm;"{""coordinates"": [-123.11605834960938, 49.28854370023552], ""type"": ""Point""}"
Killarney Training Venue;http://olympichostcity.vancouver.ca/placesandvenues/communitylegacyvenues/killarneytrainingvenue.htm;"{""coordinates"": [-123.0447769165039, 49.22682952787192], ""type"": ""Point""}"
Canada Hockey Place;http://olympichostcity.vancouver.ca/placesandvenues/olympicvenues.htm;"{""coordinates"": [-123.10878753662108, 49.277912138956175], ""type"": ""Point""}"
BC Place;http://olympichostcity.vancouver.ca/placesandvenues/olympicvenues.htm;"{""coordinates"": [-123.11219024658203, 49.27667236234484], ""type"": ""Point""}"
